,Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date
1405,TXN_3749365,Cookie,3,1.0,3.0,Cash,DK/NS,2023-01-19
1406,TXN_6900785,Juice,1,3.0,3.0,DK/NS,Takeaway,2023-09-25
1407,TXN_5775113,Salad,1,5.0,5.0,Digital Wallet,DK/NS,2023-10-23
1408,TXN_5268203,Cake,1,3.0,3.0,Credit Card,Takeaway,2023-03-04
1409,TXN_3483570,Sandwich,2,4.0,8.0,DK/NS,Takeaway,2023-03-21
1410,TXN_7406393,Tea,5,1.5,7.5,Credit Card,Takeaway,2023-06-18
1411,TXN_5226635,Cookie,4,1.0,4.0,Credit Card,Takeaway,2023-02-01
1412,TXN_5469063,Coffee,2,2.0,4.0,DK/NS,Takeaway,2023-02-24
1413,TXN_9278992,Smoothie,4,4.0,16.0,Cash,Takeaway,2023-12-15
1414,TXN_4369292,Cake,1,3.0,3.0,Credit Card,Takeaway,2023-10-09
1415,TXN_6011884,Tea,5,1.5,7.5,DK/NS,DK/NS,2023-12-25
1416,TXN_2952715,Smoothie,3,4.0,12.0,Cash,In-store,
1417,TXN_3912727,Tea,5,1.5,7.5,Digital Wallet,Takeaway,2023-04-13
1418,TXN_1951569,Salad,2,5.0,10.0,Digital Wallet,DK/NS,2023-02-27
1419,TXN_6983139,Salad,2,5.0,10.0,Credit Card,Takeaway,2023-12-18
1420,TXN_6787560,Cake,3,3.0,9.0,DK/NS,DK/NS,2023-07-13
1421,TXN_5977414,Cake,2,3.0,6.0,Credit Card,In-store,2023-08-06
1422,TXN_8517379,DK/NS,4,3.0,12.0,Digital Wallet,Takeaway,2023-09-23
1423,TXN_5485384,Sandwich,5,4.0,20.0,DK/NS,DK/NS,2023-03-04
1424,TXN_9285663,Cookie,4,1.0,4.0,DK/NS,DK/NS,2023-11-18
1425,TXN_9074075,Juice,5,3.0,15.0,Credit Card,DK/NS,2023-08-14
1426,TXN_8050034,Cookie,4,1.0,4.0,DK/NS,In-store,2023-07-29
1427,TXN_8842223,Sandwich,5,4.0,20.0,Digital Wallet,In-store,2023-01-01
1428,TXN_5121322,Sandwich,3,4.0,12.0,DK/NS,In-store,2023-12-17
1429,TXN_3091582,Sandwich,5,4.0,20.0,DK/NS,DK/NS,2023-11-28
1430,TXN_8550184,Juice,3,3.0,9.0,Digital Wallet,Takeaway,2023-04-05
1431,TXN_7604352,Coffee,3,2.0,6.0,DK/NS,Takeaway,2023-12-19
1432,TXN_6899248,DK/NS,5,3.0,15.0,DK/NS,DK/NS,2023-12-13
1433,TXN_2773491,Salad,5,5.0,25.0,Cash,DK/NS,2023-11-14
1434,TXN_3071617,Cookie,4,1.0,4.0,Credit Card,DK/NS,2023-12-15
1435,TXN_3712466,Cake,5,3.0,15.0,Digital Wallet,DK/NS,2023-04-10
1436,TXN_3670298,Cookie,4,1.0,4.0,Credit Card,Takeaway,2023-02-04
1437,TXN_4901854,Cookie,5,1.0,5.0,DK/NS,DK/NS,2023-04-23
1438,TXN_7590801,Tea,4,1.5,6.0,Cash,Takeaway,
1439,TXN_6962242,Juice,1,3.0,3.0,Digital Wallet,Takeaway,2023-06-30
1440,TXN_5780931,Tea,4,1.5,6.0,Digital Wallet,DK/NS,2023-10-06
1441,TXN_4563679,Coffee,4,2.0,8.0,DK/NS,In-store,2023-09-11
1442,TXN_6290642,Coffee,4,2.0,8.0,DK/NS,Takeaway,2023-12-23
1443,TXN_6177865,Juice,5,3.0,15.0,Digital Wallet,DK/NS,2023-01-30
1444,TXN_8115752,Smoothie,2,4.0,8.0,Digital Wallet,DK/NS,2023-06-27
1445,TXN_9253398,Sandwich,2,4.0,8.0,DK/NS,Takeaway,2023-12-14
1446,TXN_3116227,Cake,1,3.0,3.0,Digital Wallet,DK/NS,2023-05-30
1447,TXN_2494138,Cookie,3,1.0,3.0,Cash,DK/NS,2023-01-10
1448,TXN_4889269,Cake,2,3.0,6.0,Cash,DK/NS,2023-02-19
1449,TXN_9503369,Cookie,1,1.0,1.0,DK/NS,Takeaway,
1450,TXN_6105240,Juice,5,3.0,15.0,DK/NS,In-store,2023-11-27
1451,TXN_8808162,Smoothie,4,4.0,16.0,Digital Wallet,DK/NS,2023-05-07
1452,TXN_4548466,Tea,4,1.5,6.0,Credit Card,Takeaway,2023-11-30
1453,TXN_3195257,Salad,1,5.0,5.0,Cash,DK/NS,2023-10-09
1454,TXN_9835676,Cookie,2,1.0,2.0,Digital Wallet,DK/NS,2023-03-30
1455,TXN_9728454,Juice,4,3.0,12.0,Digital Wallet,Takeaway,2023-01-03
1456,TXN_5907854,Juice,3,3.0,9.0,DK/NS,In-store,2023-11-11
1457,TXN_8685846,Tea,5,1.5,7.5,Credit Card,DK/NS,2023-12-27
1458,TXN_1726774,Salad,3,5.0,15.0,DK/NS,DK/NS,2023-11-16
1459,TXN_2594430,Coffee,1,2.0,2.0,DK/NS,DK/NS,2023-05-18
1460,TXN_5750278,Salad,3,5.0,15.0,Cash,Takeaway,2023-06-08
1461,TXN_6714931,Juice,3,3.0,9.0,DK/NS,DK/NS,2023-07-02
1462,TXN_5537740,Cake,3,3.0,9.0,Credit Card,Takeaway,2023-04-30
1463,TXN_9433769,Cake,4,3.0,12.0,Digital Wallet,DK/NS,2023-08-13
1464,TXN_5944206,Cookie,5,1.0,5.0,Digital Wallet,Takeaway,2023-05-12
1465,TXN_9212178,Juice,1,3.0,3.0,Credit Card,Takeaway,2023-11-18
1466,TXN_2915856,Tea,1,1.5,1.5,DK/NS,In-store,2023-06-19
1467,TXN_4376214,Salad,5,5.0,25.0,DK/NS,DK/NS,2023-04-26
1468,TXN_9201212,Smoothie,4,4.0,16.0,Digital Wallet,Takeaway,2023-06-08
1469,TXN_7752454,Cake,3,3.0,9.0,DK/NS,DK/NS,
1470,TXN_7055260,Sandwich,4,4.0,16.0,Digital Wallet,In-store,2023-06-20
1471,TXN_4773465,Coffee,5,2.0,10.0,Digital Wallet,Takeaway,2023-11-28
1472,TXN_9087344,Tea,5,1.5,7.5,Cash,DK/NS,2023-07-29
1473,TXN_1757340,Cake,2,3.0,6.0,Credit Card,In-store,2023-12-29
1474,TXN_9975321,Salad,2,5.0,10.0,Digital Wallet,DK/NS,2023-03-25
1475,TXN_8148137,Tea,1,1.5,1.5,DK/NS,In-store,
1476,TXN_1681216,Cake,3,3.0,9.0,DK/NS,DK/NS,2023-03-23
1477,TXN_3835043,Juice,2,3.0,6.0,Cash,DK/NS,2023-12-29
1478,TXN_8366002,Sandwich,2,4.0,8.0,Credit Card,DK/NS,2023-12-26
1479,TXN_9390740,Cake,2,3.0,6.0,Cash,In-store,2023-12-06
1480,TXN_4928254,Cake,1,3.0,3.0,Credit Card,DK/NS,2023-12-22
1481,TXN_5191642,Salad,5,5.0,25.0,Cash,DK/NS,2023-04-15
1482,TXN_9117434,Cake,1,3.0,3.0,DK/NS,In-store,2023-07-18
1483,TXN_2820788,Cookie,5,1.0,5.0,DK/NS,DK/NS,2023-09-25
1484,TXN_3593060,Smoothie,4,4.0,16.0,Cash,DK/NS,2023-03-05
1485,TXN_7531745,Cake,2,3.0,6.0,Cash,DK/NS,2023-06-23
1486,TXN_1082421,Salad,1,5.0,5.0,Digital Wallet,In-store,2023-12-19
1487,TXN_2148444,Juice,2,3.0,6.0,Cash,DK/NS,2023-11-27
1488,TXN_5402385,DK/NS,2,3.0,6.0,Cash,In-store,2023-06-18
1489,TXN_1494502,Salad,5,5.0,25.0,Digital Wallet,DK/NS,
1490,TXN_9277146,Cake,5,3.0,15.0,Credit Card,DK/NS,2023-07-11
1491,TXN_9333347,Smoothie,5,4.0,20.0,Cash,DK/NS,2023-09-10
1492,TXN_9127105,Juice,3,3.0,9.0,Cash,DK/NS,2023-03-04
1493,TXN_1417724,Sandwich,2,4.0,8.0,Digital Wallet,DK/NS,2023-06-07
1494,TXN_6451377,Salad,5,5.0,25.0,Credit Card,Takeaway,2023-03-19
1495,TXN_2142961,Coffee,5,2.0,10.0,Credit Card,Takeaway,2023-09-21
1496,TXN_5927884,Coffee,4,2.0,8.0,DK/NS,DK/NS,2023-12-21
1497,TXN_8588335,Salad,4,5.0,20.0,Credit Card,DK/NS,2023-09-04
1498,TXN_6738350,Juice,2,3.0,6.0,Digital Wallet,DK/NS,2023-11-02
1499,TXN_5575561,Tea,4,1.5,6.0,Digital Wallet,Takeaway,2023-02-13
1500,TXN_1007347,Salad,4,5.0,20.0,Digital Wallet,In-store,2023-08-28
1501,TXN_8933459,Juice,1,3.0,3.0,DK/NS,DK/NS,2023-12-31
1502,TXN_3678091,Juice,3,3.0,9.0,Cash,DK/NS,2023-09-07
1503,TXN_7692628,Tea,2,1.5,3.0,Cash,DK/NS,2023-05-01
1504,TXN_6731518,Cookie,1,1.0,1.0,Digital Wallet,Takeaway,2023-12-04
1505,TXN_3455702,Salad,1,5.0,5.0,Cash,Takeaway,2023-03-23
1506,TXN_7794561,Juice,4,3.0,12.0,Credit Card,In-store,2023-05-18
1507,TXN_8908193,Smoothie,5,4.0,20.0,Cash,DK/NS,2023-04-02
1508,TXN_7688625,Coffee,1,2.0,2.0,Credit Card,In-store,2023-12-15
1509,TXN_7012065,Coffee,3,2.0,6.0,DK/NS,DK/NS,2023-08-05
1510,TXN_4323570,Cookie,1,1.0,1.0,Cash,DK/NS,2023-03-04
1511,TXN_8831924,Coffee,3,2.0,6.0,Digital Wallet,In-store,2023-07-12
1512,TXN_2865104,Cake,5,3.0,15.0,DK/NS,In-store,2023-03-12
1513,TXN_1360998,Cookie,2,1.0,2.0,Cash,Takeaway,2023-07-30
1514,TXN_4125921,Juice,5,3.0,15.0,Credit Card,DK/NS,2023-01-26
1515,TXN_4657842,Cookie,5,1.0,5.0,Cash,Takeaway,2023-09-29
1516,TXN_8149585,Juice,1,3.0,3.0,Credit Card,DK/NS,2023-02-21
1517,TXN_9047278,Tea,4,1.5,6.0,Credit Card,Takeaway,2023-06-20
1518,TXN_8666003,Smoothie,4,4.0,16.0,DK/NS,Takeaway,2023-06-09
1519,TXN_7606512,Cookie,5,1.0,5.0,Cash,DK/NS,2023-12-03
1520,TXN_1819615,Coffee,4,2.0,8.0,DK/NS,DK/NS,2023-06-03
1521,TXN_1931404,Cake,5,3.0,15.0,DK/NS,In-store,2023-10-01
1522,TXN_4516901,Tea,2,1.5,3.0,Credit Card,In-store,2023-09-05
1523,TXN_6817795,Tea,1,1.5,1.5,Cash,Takeaway,2023-09-12
1524,TXN_4643515,DK/NS,1,4.0,4.0,Digital Wallet,In-store,2023-10-03
1525,TXN_9762385,Tea,3,1.5,4.5,DK/NS,DK/NS,2023-05-19
1526,TXN_6809170,Smoothie,4,4.0,16.0,Cash,Takeaway,2023-08-10
1527,TXN_7365744,Cookie,4,1.0,4.0,Cash,In-store,2023-08-20
1528,TXN_9847116,Salad,3,5.0,15.0,Cash,Takeaway,2023-07-28
1529,TXN_8356338,Salad,5,5.0,25.0,Credit Card,In-store,2023-08-06
1530,TXN_4413506,Juice,4,3.0,12.0,Digital Wallet,In-store,2023-10-29
1531,TXN_1057209,Cookie,5,1.0,5.0,Credit Card,In-store,2023-09-17
1532,TXN_9534685,Salad,1,5.0,5.0,DK/NS,Takeaway,2023-04-27
1533,TXN_4893692,Salad,2,5.0,10.0,DK/NS,DK/NS,2023-01-02
1534,TXN_5680629,Cake,2,3.0,6.0,DK/NS,Takeaway,2023-04-30
1535,TXN_2494194,Salad,5,5.0,25.0,Digital Wallet,DK/NS,2023-02-11
1536,TXN_4549825,Salad,2,5.0,10.0,Digital Wallet,DK/NS,
1537,TXN_4737392,Sandwich,2,4.0,8.0,Cash,In-store,2023-02-17
1538,TXN_9538738,Coffee,4,2.0,8.0,Cash,In-store,2023-09-25
1539,TXN_1854102,Coffee,2,2.0,4.0,Digital Wallet,Takeaway,2023-07-18
1540,TXN_3109692,Juice,4,3.0,12.0,Credit Card,In-store,2023-06-21
1541,TXN_5395229,Coffee,5,2.0,10.0,Cash,DK/NS,2023-11-29
1542,TXN_8918902,Coffee,5,2.0,10.0,DK/NS,DK/NS,2023-05-22
1543,TXN_8837375,Sandwich,2,4.0,8.0,Digital Wallet,Takeaway,2023-11-21
1544,TXN_3952218,Salad,5,5.0,25.0,DK/NS,DK/NS,2023-04-07
1545,TXN_3225552,Salad,1,5.0,5.0,DK/NS,In-store,2023-05-16
1546,TXN_7950226,Tea,1,1.5,1.5,Digital Wallet,In-store,2023-10-13
1547,TXN_9086541,Salad,3,5.0,15.0,Cash,In-store,2023-02-15
1548,TXN_1817596,Tea,2,1.5,3.0,DK/NS,In-store,2023-11-04
1549,TXN_7644786,Cookie,3,1.0,3.0,Credit Card,Takeaway,2023-01-20
1550,TXN_8017969,Juice,1,3.0,3.0,Cash,Takeaway,2023-03-26
1551,TXN_6667388,Cake,3,3.0,9.0,Cash,In-store,2023-08-14
1552,TXN_3488611,Tea,1,1.5,1.5,Cash,DK/NS,2023-02-13
1553,TXN_3165950,Coffee,1,2.0,2.0,Digital Wallet,DK/NS,
1554,TXN_3109334,Smoothie,3,4.0,12.0,DK/NS,In-store,2023-04-06
1555,TXN_9425645,Cake,3,3.0,9.0,Credit Card,Takeaway,2023-03-19
1556,TXN_2461238,Coffee,1,2.0,2.0,DK/NS,Takeaway,2023-01-29
1557,TXN_4692976,Juice,1,3.0,3.0,Digital Wallet,DK/NS,2023-11-06
1558,TXN_6747376,Smoothie,3,4.0,12.0,Digital Wallet,In-store,2023-11-20
1559,TXN_3689335,Juice,1,3.0,3.0,DK/NS,Takeaway,2023-12-11
1560,TXN_9662568,Tea,5,1.5,7.5,Cash,DK/NS,2023-10-30
1561,TXN_9817681,Tea,4,1.5,6.0,DK/NS,Takeaway,
1562,TXN_5470087,Salad,2,5.0,10.0,DK/NS,Takeaway,2023-10-11
1563,TXN_3717372,Juice,2,3.0,6.0,Credit Card,DK/NS,2023-02-15
1564,TXN_6727985,Salad,5,5.0,25.0,Credit Card,In-store,2023-06-16
1565,TXN_1755661,Salad,5,5.0,25.0,DK/NS,In-store,2023-07-14
1566,TXN_9899571,Salad,2,5.0,10.0,Credit Card,Takeaway,2023-02-18
1567,TXN_5692316,Smoothie,1,4.0,4.0,Digital Wallet,DK/NS,2023-06-22
1568,TXN_2062269,Juice,4,3.0,12.0,Digital Wallet,Takeaway,2023-09-08
1569,TXN_2160316,Sandwich,1,4.0,4.0,DK/NS,In-store,2023-10-24
1570,TXN_4220743,Sandwich,4,4.0,16.0,DK/NS,In-store,2023-10-22
1571,TXN_2726843,Sandwich,1,4.0,4.0,DK/NS,In-store,2023-05-31
1572,TXN_9969283,Sandwich,3,4.0,12.0,Digital Wallet,DK/NS,2023-10-26
1573,TXN_8540115,Tea,2,1.5,3.0,DK/NS,DK/NS,2023-06-26
1574,TXN_8313892,Salad,3,5.0,15.0,Credit Card,Takeaway,2023-11-29
1575,TXN_3131761,Smoothie,1,4.0,4.0,DK/NS,Takeaway,2023-10-18
1576,TXN_1243964,Tea,3,1.5,4.5,DK/NS,Takeaway,2023-12-01
1577,TXN_1856112,Salad,3,5.0,15.0,Credit Card,DK/NS,2023-06-08
1578,TXN_4532651,Coffee,2,2.0,4.0,DK/NS,In-store,2023-09-13
1579,TXN_4083736,Coffee,1,2.0,2.0,DK/NS,In-store,2023-08-21
1580,TXN_4493176,Tea,3,1.5,4.5,DK/NS,DK/NS,2023-10-14
1581,TXN_6712994,Coffee,3,2.0,6.0,Cash,Takeaway,2023-10-02
1582,TXN_1840566,Coffee,4,2.0,8.0,DK/NS,DK/NS,2023-01-05
1583,TXN_6257776,Juice,5,3.0,15.0,Cash,In-store,2023-10-28
1584,TXN_9039165,Sandwich,4,4.0,16.0,DK/NS,Takeaway,2023-03-10
1585,TXN_7056051,Cake,2,3.0,6.0,DK/NS,DK/NS,
1586,TXN_3869150,Cookie,3,1.0,3.0,Cash,DK/NS,2023-03-26
1587,TXN_3604156,Coffee,5,2.0,10.0,Credit Card,Takeaway,2023-11-08
1588,TXN_2018236,Coffee,5,2.0,10.0,Cash,DK/NS,2023-04-19
1589,TXN_4430176,Sandwich,4,4.0,16.0,Credit Card,Takeaway,2023-08-27
1590,TXN_6073195,Sandwich,3,4.0,12.0,Credit Card,Takeaway,2023-09-13
1591,TXN_5245399,Coffee,5,2.0,10.0,DK/NS,DK/NS,2023-12-25
1592,TXN_4178872,Tea,1,1.5,1.5,Credit Card,DK/NS,2023-01-25
1593,TXN_8836650,Smoothie,5,4.0,20.0,DK/NS,DK/NS,2023-05-22
1594,TXN_5882584,Cake,5,3.0,15.0,DK/NS,In-store,2023-09-16
1595,TXN_4291132,Cake,2,3.0,6.0,Credit Card,Takeaway,2023-08-07
1596,TXN_1622123,Cookie,2,1.0,2.0,Cash,Takeaway,2023-01-05
1597,TXN_2878078,Cake,2,3.0,6.0,Digital Wallet,Takeaway,2023-12-15
1598,TXN_7134579,Cookie,5,1.0,5.0,Digital Wallet,Takeaway,2023-06-06
1599,TXN_6921057,Sandwich,4,4.0,16.0,Digital Wallet,Takeaway,2023-07-10
1600,TXN_2335088,Salad,4,5.0,20.0,Cash,In-store,2023-10-27
1601,TXN_9778859,Cookie,3,1.0,3.0,Cash,Takeaway,2023-06-05
1602,TXN_3850274,Juice,5,3.0,15.0,DK/NS,DK/NS,2023-09-08
1603,TXN_4428448,Cookie,4,1.0,4.0,DK/NS,DK/NS,2023-02-04
1604,TXN_1062822,Juice,2,3.0,6.0,Credit Card,DK/NS,2023-06-28
1605,TXN_6386662,Salad,5,5.0,25.0,Credit Card,Takeaway,2023-12-04
1606,TXN_5491825,Cake,4,3.0,12.0,Cash,In-store,2023-06-09
1607,TXN_5330930,Cake,1,3.0,3.0,DK/NS,In-store,2023-07-12
1608,TXN_5580933,Smoothie,3,4.0,12.0,Cash,Takeaway,2023-10-19
1609,TXN_3326110,Coffee,2,2.0,4.0,Credit Card,Takeaway,2023-08-13
1610,TXN_5455079,Salad,2,5.0,10.0,Cash,In-store,2023-11-30
1611,TXN_5526475,Tea,4,1.5,6.0,Cash,In-store,2023-05-06
1612,TXN_3800253,Cake,2,3.0,6.0,Cash,Takeaway,2023-01-15
1613,TXN_2091128,Cake,1,3.0,3.0,Credit Card,DK/NS,
1614,TXN_9169782,Juice,5,3.0,15.0,Credit Card,DK/NS,2023-09-18
1615,TXN_4639621,Coffee,2,2.0,4.0,DK/NS,In-store,2023-10-12
1616,TXN_4432823,DK/NS,5,4.0,20.0,DK/NS,In-store,2023-02-10
1617,TXN_8138157,DK/NS,2,4.0,8.0,Cash,Takeaway,2023-05-07
1618,TXN_4134478,Juice,2,3.0,6.0,Credit Card,Takeaway,2023-06-25
1619,TXN_6298532,Smoothie,4,4.0,16.0,Digital Wallet,DK/NS,
1620,TXN_4997327,Coffee,2,2.0,4.0,DK/NS,In-store,2023-03-19
1621,TXN_9522899,Smoothie,5,4.0,20.0,Credit Card,Takeaway,
1622,TXN_4049949,Cookie,1,1.0,1.0,DK/NS,Takeaway,2023-11-06
1623,TXN_7296498,Salad,5,5.0,25.0,Credit Card,Takeaway,2023-05-19
1624,TXN_4706042,Salad,5,5.0,25.0,DK/NS,In-store,2023-12-01
1625,TXN_2488987,Tea,5,1.5,7.5,Cash,In-store,2023-06-12
1626,TXN_6708156,Tea,5,1.5,7.5,Credit Card,DK/NS,2023-11-26
1627,TXN_7616002,Tea,2,1.5,3.0,DK/NS,In-store,2023-11-08
1628,TXN_1865735,Smoothie,2,4.0,8.0,Digital Wallet,In-store,2023-09-22
1629,TXN_5396450,Juice,3,3.0,9.0,Digital Wallet,DK/NS,2023-12-09
1630,TXN_5881757,Sandwich,3,4.0,12.0,Credit Card,DK/NS,2023-08-15
1631,TXN_3404479,DK/NS,4,4.0,16.0,Credit Card,DK/NS,2023-08-23
1632,TXN_5342589,Tea,2,1.5,3.0,Digital Wallet,DK/NS,2023-04-06
1633,TXN_1987212,Smoothie,5,4.0,20.0,Credit Card,Takeaway,2023-04-07
1634,TXN_5303275,Cookie,4,1.0,4.0,Cash,Takeaway,2023-09-18
1635,TXN_9193760,Salad,5,5.0,25.0,DK/NS,DK/NS,2023-01-20
1636,TXN_8541074,Salad,4,5.0,20.0,DK/NS,In-store,2023-11-08
1637,TXN_1075183,Tea,2,1.5,3.0,Credit Card,DK/NS,2023-01-09
1638,TXN_9316158,Sandwich,5,4.0,20.0,Cash,In-store,2023-10-31
1639,TXN_8207244,Tea,5,1.5,7.5,Cash,Takeaway,2023-05-04
1640,TXN_2346001,Salad,2,5.0,10.0,Digital Wallet,Takeaway,2023-08-21
1641,TXN_2814866,Smoothie,1,4.0,4.0,Digital Wallet,In-store,2023-07-29
1642,TXN_8454044,Coffee,5,2.0,10.0,Credit Card,DK/NS,2023-05-27
1643,TXN_8321092,DK/NS,2,3.0,6.0,Credit Card,DK/NS,2023-09-28
1644,TXN_2560137,Cake,1,3.0,3.0,Cash,Takeaway,2023-10-13
1645,TXN_7350571,Smoothie,1,4.0,4.0,Credit Card,In-store,2023-02-19
1646,TXN_3915802,Coffee,3,2.0,6.0,Cash,Takeaway,2023-12-16
1647,TXN_5019143,Coffee,5,2.0,10.0,Cash,DK/NS,2023-02-21
1648,TXN_1785371,Coffee,1,2.0,2.0,DK/NS,Takeaway,2023-01-16
1649,TXN_6441650,Cake,5,3.0,15.0,DK/NS,Takeaway,2023-09-06
1650,TXN_2493262,Cookie,2,1.0,2.0,Credit Card,Takeaway,2023-01-03
1651,TXN_3257591,Sandwich,1,4.0,4.0,Credit Card,In-store,
1652,TXN_6038791,Juice,2,3.0,6.0,Digital Wallet,In-store,2023-03-06
1653,TXN_1335337,Tea,3,1.5,4.5,Credit Card,In-store,2023-09-06
1654,TXN_2275914,Sandwich,2,4.0,8.0,DK/NS,Takeaway,2023-10-24
1655,TXN_6258276,Sandwich,5,4.0,20.0,Credit Card,DK/NS,2023-01-29
1656,TXN_2340312,Cake,4,3.0,12.0,DK/NS,Takeaway,2023-07-30
1657,TXN_6066433,Tea,2,1.5,3.0,Cash,DK/NS,2023-06-17
1658,TXN_1872922,Sandwich,5,4.0,20.0,DK/NS,In-store,2023-07-16
1659,TXN_7730388,Cookie,5,1.0,5.0,Digital Wallet,In-store,2023-09-09
1660,TXN_3330377,Coffee,5,2.0,10.0,DK/NS,DK/NS,2023-05-08
1661,TXN_3147198,Smoothie,2,4.0,8.0,Digital Wallet,DK/NS,2023-02-04
1662,TXN_6363897,Salad,5,5.0,25.0,Credit Card,Takeaway,2023-11-26
1663,TXN_1893222,Smoothie,5,4.0,20.0,Credit Card,In-store,2023-12-20
1664,TXN_9262803,Juice,5,3.0,15.0,Digital Wallet,DK/NS,2023-10-04
1665,TXN_9491912,Tea,4,1.5,6.0,Cash,In-store,
1666,TXN_6992164,Sandwich,2,4.0,8.0,Cash,Takeaway,
1667,TXN_6577035,Smoothie,2,4.0,8.0,DK/NS,In-store,2023-05-20
1668,TXN_9970966,Coffee,5,2.0,10.0,DK/NS,In-store,2023-09-09
1669,TXN_5624179,Cookie,1,1.0,1.0,Cash,Takeaway,2023-10-26
1670,TXN_3450160,Cake,4,3.0,12.0,Credit Card,In-store,2023-10-23
1671,TXN_4075432,Sandwich,5,4.0,20.0,Cash,In-store,2023-09-12
1672,TXN_2023802,Cake,2,3.0,6.0,Cash,In-store,2023-02-28
1673,TXN_5130399,Cookie,3,1.0,3.0,DK/NS,DK/NS,2023-10-21
1674,TXN_6745832,Coffee,2,2.0,4.0,Credit Card,DK/NS,2023-10-02
1675,TXN_7560989,Sandwich,3,4.0,12.0,Digital Wallet,DK/NS,2023-06-16
1676,TXN_9367492,Tea,2,1.5,3.0,Cash,In-store,2023-06-19
1677,TXN_3115258,Salad,1,5.0,5.0,DK/NS,Takeaway,2023-12-06
1678,TXN_8182245,Sandwich,5,4.0,20.0,Digital Wallet,Takeaway,2023-10-24
1679,TXN_3970335,Juice,5,3.0,15.0,Digital Wallet,Takeaway,2023-09-01
1680,TXN_6376630,DK/NS,2,3.0,6.0,Cash,In-store,2023-01-24
1681,TXN_7100596,Smoothie,5,4.0,20.0,Credit Card,In-store,2023-09-14
1682,TXN_1481116,Tea,2,1.5,3.0,Digital Wallet,In-store,2023-02-26
1683,TXN_9454212,Juice,5,3.0,15.0,Cash,In-store,2023-11-19
1684,TXN_3648327,Cake,1,3.0,3.0,Digital Wallet,Takeaway,2023-08-17
1685,TXN_6188394,Juice,5,3.0,15.0,Credit Card,In-store,2023-10-05
1686,TXN_2553803,Juice,1,3.0,3.0,Cash,In-store,2023-12-29
1687,TXN_5700545,Salad,2,5.0,10.0,Credit Card,DK/NS,2023-05-25
1688,TXN_8018479,Tea,1,1.5,1.5,Digital Wallet,Takeaway,2023-09-15
1689,TXN_9465300,Tea,2,1.5,3.0,Credit Card,DK/NS,2023-09-01
1690,TXN_3046108,Tea,5,1.5,7.5,Digital Wallet,Takeaway,2023-01-15
1691,TXN_5998419,Juice,4,3.0,12.0,DK/NS,Takeaway,2023-09-26
1692,TXN_4454198,Tea,1,1.5,1.5,Digital Wallet,In-store,2023-08-22
1693,TXN_5855756,Sandwich,1,4.0,4.0,Credit Card,In-store,2023-08-29
1694,TXN_5182399,Coffee,3,2.0,6.0,Digital Wallet,Takeaway,2023-09-08
1695,TXN_6758675,Juice,1,3.0,3.0,Credit Card,In-store,2023-11-05
1696,TXN_1962275,Coffee,5,2.0,10.0,Credit Card,Takeaway,2023-05-26
1697,TXN_9530003,Salad,1,5.0,5.0,Digital Wallet,DK/NS,2023-08-24
1698,TXN_2347596,Juice,4,3.0,12.0,Credit Card,DK/NS,2023-12-27
1699,TXN_6215303,Salad,4,5.0,20.0,DK/NS,Takeaway,2023-08-20
1700,TXN_5524352,Sandwich,1,4.0,4.0,DK/NS,DK/NS,2023-01-05
1701,TXN_6668414,Cake,1,3.0,3.0,DK/NS,In-store,2023-12-29
1702,TXN_8715122,Cake,2,3.0,6.0,Cash,Takeaway,
1703,TXN_1525046,Smoothie,2,4.0,8.0,Cash,DK/NS,2023-12-02
1704,TXN_9867948,Smoothie,2,4.0,8.0,Digital Wallet,DK/NS,2023-10-07
1705,TXN_8512466,DK/NS,5,3.0,15.0,DK/NS,DK/NS,2023-02-10
1706,TXN_9663990,Juice,1,3.0,3.0,DK/NS,DK/NS,2023-01-06
1707,TXN_7681072,Cookie,1,1.0,1.0,Credit Card,Takeaway,2023-07-07
1708,TXN_3099191,Salad,2,5.0,10.0,DK/NS,DK/NS,2023-05-19
1709,TXN_8789986,Cake,2,3.0,6.0,Cash,Takeaway,2023-09-21
1710,TXN_8382825,Coffee,5,2.0,10.0,Cash,In-store,2023-01-20
1711,TXN_4486700,Cake,2,3.0,6.0,Digital Wallet,Takeaway,2023-02-08
1712,TXN_2668108,Cookie,5,1.0,5.0,Cash,DK/NS,2023-09-23
1713,TXN_5085328,Coffee,4,2.0,8.0,Digital Wallet,Takeaway,2023-02-03
1714,TXN_6023823,Cookie,2,1.0,2.0,Digital Wallet,DK/NS,2023-04-20
1715,TXN_6541659,Sandwich,3,4.0,12.0,DK/NS,Takeaway,2023-01-29
1716,TXN_3203928,Coffee,3,2.0,6.0,DK/NS,In-store,2023-12-04
1717,TXN_3443235,Sandwich,5,4.0,20.0,DK/NS,DK/NS,2023-10-11
1718,TXN_6191769,Salad,1,5.0,5.0,Credit Card,Takeaway,2023-05-17
1719,TXN_6110386,Smoothie,1,4.0,4.0,Cash,In-store,2023-03-17
1720,TXN_7355635,Juice,3,3.0,9.0,DK/NS,In-store,2023-12-21
1721,TXN_2944518,DK/NS,3,3.0,9.0,DK/NS,Takeaway,2023-09-14
1722,TXN_9169536,Cake,5,3.0,15.0,Cash,In-store,2023-06-10
